name,operator,operator_norm,lat,lon,v6_layer,confidence,promotion_action,promotion_note,source_category,n_sources,physical_facility,address,source,note,ADMIN,CONTINENT,ISO_A3,SUBREGION,_source_file,cluster_id,coord_confidence,facility_type,has_operator,in_both_sources,merge_distance_m,merge_matched_name,merge_status,name_normalized,operator_tier,osm_id,osm_type,provider,region_code,sources,status,wikidata_id,year,v7_status,v7_pending_review,v7_change_log
VADS CBJ1 (Cyberjaya),VADS (TM subsidiary),VADS (TM subsidiary),2.9254198,101.6629305,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Lingkaran Usahawan 1 Timur; Tier 3; ISO 27001; datacentermap.com snippet,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,VADS CBJ1 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,,inherited,,inherited from v6 master unchanged
VADS CBJ2 (Cyberjaya),VADS (TM subsidiary),VADS (TM subsidiary),2.917888,101.6456942,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"Bangunan TM CBJ Unit 2, Jalan Lingkaran Fauna; datacentermap.com snippet",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,VADS CBJ2 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,,inherited,,inherited from v6 master unchanged
VADS CBJ5 (Cyberjaya),VADS (TM subsidiary),VADS (TM subsidiary),2.9129573,101.6557385,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"CSF Computer Exchange, 3552 Jalan Teknokrat 6, 3rd Floor; datacentermap.com snippet",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,VADS CBJ5 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,,inherited,,inherited from v6 master unchanged
VADS CBJ6 (Cyberjaya),VADS (TM subsidiary),VADS (TM subsidiary),2.9171543,101.6619044,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"CX2 Computer Exchange, 7118 Jalan Impact, 4th Floor; datacentermap.com snippet",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,VADS CBJ6 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,,pending_review,sweep_cotenant_pair:paired_with_v7_row_6 (haversine=0m),inherited from v6 master unchanged
VADS CBJ8 (Cyberjaya),VADS (TM subsidiary),VADS (TM subsidiary),2.9045487,101.6517587,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"MyTelehaus CJ1 Centre, No 1 Jalan Cyber Point 4, Level 3; datacentercatalog.com",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,VADS CBJ8 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,,pending_review,sweep_cotenant_pair:paired_with_v7_row_19 (haversine=47m),inherited from v6 master unchanged
Keppel DC Johor 1 (Kulai),Keppel Data Centres,Keppel Data Centres,1.6686,103.5224,v5.1,0.4333,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources) | merged from v6_row_86: https://www.peeringdb.com/fac/9747,"BTS for Microsoft Azure; Kulai area; Keppel-controlled; coords from XLSX (1.6686, 103.5224); Dgtl Infra | merged from v6_row_86: pdb_id=9747 | clli= | region=Asia Pacific | status=ok",Malaysia,Asia,MYS,South-Eastern Asia,,,manual_correction,physical_facility,True,False,,,,Keppel DC Johor 1 (Kulai),,,,,,Manual Curation (public sources),Operational,,,pending_review,merge_confirmed but coord (from Dgtl Infra XLSX per v6 note) not operator-verified; Keppel does not publish street-level coord for this BTS facility. Flag for coord corroboration in v8.,dedup_merge_confirmed: absorbed v6_row_86 (Keppel Data Centres | Keppel DC Johor 1) | special_case:Keppel_coord_caveat
STACK JHB01 (Johor Bahru),STACK Infrastructure,STACK Infrastructure,1.4619442,103.6034602,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),10.8 hectares; cloud and AI/ML workloads; Jalan Bioteknologi; datacentermap.com snippet,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,STACK JHB01 (Johor Bahru),,,,,,Manual Curation (public sources),Under Construction,,,inherited,,inherited from v6 master unchanged
Hitachi Sunway DC CX2 (Cyberjaya),Hitachi Sunway,Hitachi Sunway,2.9173009,101.6620648,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"7118 CX2 Computer Exchange, Jalan Impact; includes former Jalan Teknologi 1 site; datacentermap.com snippet",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Hitachi Sunway DC CX2 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,,pending_review,sweep_cotenant_pair:paired_with_v7_row_6 (haversine=24m),inherited from v6 master unchanged
Hitachi Sunway DC Century Square (Cyberjaya),Hitachi Sunway,Hitachi Sunway,2.9250521,101.661399,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"Block 2310, Jalan Usahawan, Century Square; datacentermap.com snippet",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Hitachi Sunway DC Century Square (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,,inherited,,inherited from v6 master unchanged
NEXTDC KL1 (Kuala Lumpur),NEXTDC,NEXTDC,3.1319197,101.6840589,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),65MW colocation; announced; GlobeNewswire / Arizton report,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,NEXTDC KL1 (Kuala Lumpur),,,,,,Manual Curation (public sources),Planned,,,inherited,,inherited from v6 master unchanged
Microsoft Kulai (Johor),Microsoft,Microsoft,1.6205686,103.5215847,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"Part of Azure Malaysia region; Kulai, Johor; XLSX reference",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Microsoft Kulai (Johor),,,,,,Manual Curation (public sources),Under Construction,,,pending_review,sweep_cotenant_pair:paired_with_v7_row_53 (haversine=0m),inherited from v6 master unchanged
Microsoft Nusa Cemerlang (Johor),Microsoft,Microsoft,1.445292,103.6037419,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"Part of Azure Malaysia region; Nusa Cemerlang, Iskandar Puteri; XLSX reference",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Microsoft Nusa Cemerlang (Johor),,,,,,Manual Curation (public sources),Under Construction,,,pending_review,sweep_cotenant_pair:paired_with_v7_row_38 (haversine=0m),inherited from v6 master unchanged
Vantage KUL1 Campus (Cyberjaya),Vantage Data Centers,Vantage Data Centers,2.9057,101.6511358,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),31MW; 4 multi-story buildings; Persiaran APEC; WUE near zero; Vantage website,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Vantage KUL1 Campus (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,,pending_review,sweep_cotenant_pair:paired_with_v7_row_31 (haversine=142m),inherited from v6 master unchanged
Vantage KUL2 Campus (Cyberjaya),Vantage Data Centers,Vantage Data Centers,2.9016945,101.6506784,v5.1,0.8067,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),436MW planned; 52 acres; adjacent to KUL1; 10 structures; Vantage website,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Vantage KUL2 Campus (Cyberjaya),,,,,,Manual Curation (public sources),Under Construction,,,inherited,,inherited from v6 master unchanged
YTL Johor Data Center 1 (Kulai),YTL Data Center Holdings,YTL Data Center Holdings,1.6205686,103.5215847,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Part of 275-acre YTL Green Data Center Park; Kulai; FULCRUM analysis | v7.1 fix 6: building-level row preserved per project convention; coord inherited from shared geocode. Individual building coords require satellite imagery review (deferred to satellite pass).,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,YTL Johor Data Center 1 (Kulai),,,,,,Manual Curation (public sources),Operational,,,pending_review,"review_campus_per_dedup_2: Three rows at (1.6206, 103.5216), (1.6216, 103.5216), (1.6226, 103.5216) — a perfect 0.001°-lat stagger on identical lon. That pattern is not how a real campus lays out. YTL Green DC Park publishes a single campus in Kulai on 111ha; if these are distinct buildings they need real per-building coords  || sweep_cotenant_pair:paired_with_v7_row_49 (haversine=0m) || sweep_potential_dup:paired_with_v7_row_54 (haversine=111m) || pending_satellite_coord_refinement:YTL Johor DC 1","dedup_review_campus (entry 2): rows [53, 54, 55] | v7.1 fix 6: documented shared-geocode status; coord refinement deferred."
YTL Johor Data Center 2 (Kulai),YTL Data Center Holdings,YTL Data Center Holdings,1.6215686,103.5215847,v5.1,0.88,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Part of 275-acre YTL Green Data Center Park; Kulai; campus offset +0.001 lat; FULCRUM analysis | v7.1 fix 6: building-level row preserved per project convention; coord inherited from shared geocode. Individual building coords require satellite imagery review (deferred to satellite pass).,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded_with_campus_offset,physical_facility,True,False,,,,YTL Johor Data Center 2 (Kulai),,,,,,Manual Curation (public sources),Operational,,,pending_review,"review_campus_per_dedup_2: Three rows at (1.6206, 103.5216), (1.6216, 103.5216), (1.6226, 103.5216) — a perfect 0.001°-lat stagger on identical lon. That pattern is not how a real campus lays out. YTL Green DC Park publishes a single campus in Kulai on 111ha; if these are distinct buildings they need real per-building coords  || sweep_cotenant_pair:paired_with_v7_row_49 (haversine=111m) || sweep_potential_dup:paired_with_v7_row_53 (haversine=111m) || pending_satellite_coord_refinement:YTL Johor DC 2","dedup_review_campus (entry 2): rows [53, 54, 55] | v7.1 fix 6: documented shared-geocode status; coord refinement deferred."
YTL Johor Data Center 3 (Kulai),YTL Data Center Holdings,YTL Data Center Holdings,1.6225686,103.5215847,v5.1,0.88,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Part of 275-acre YTL Green Data Center Park; Kulai; campus offset +0.002 lat; FULCRUM analysis | v7.1 fix 6: building-level row preserved per project convention; coord inherited from shared geocode. Individual building coords require satellite imagery review (deferred to satellite pass).,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded_with_campus_offset,physical_facility,True,False,,,,YTL Johor Data Center 3 (Kulai),,,,,,Manual Curation (public sources),Operational,,,pending_review,"review_campus_per_dedup_2: Three rows at (1.6206, 103.5216), (1.6216, 103.5216), (1.6226, 103.5216) — a perfect 0.001°-lat stagger on identical lon. That pattern is not how a real campus lays out. YTL Green DC Park publishes a single campus in Kulai on 111ha; if these are distinct buildings they need real per-building coords  || sweep_potential_dup:paired_with_v7_row_54 (haversine=111m) || pending_satellite_coord_refinement:YTL Johor DC 3","dedup_review_campus (entry 2): rows [53, 54, 55] | v7.1 fix 6: documented shared-geocode status; coord refinement deferred."
Basis Bay Glenmarie (Shah Alam),Basis Bay,Basis Bay,3.09065,101.5791543,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"Glenmarie, Shah Alam; one of Malaysia's first carrier-neutral DCs; 27+ years; STT GDC JV announcement",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Basis Bay Glenmarie (Shah Alam),,,,,,Manual Curation (public sources),Operational,,,inherited,,inherited from v6 master unchanged
Basis Bay Cyberjaya,Basis Bay,Basis Bay,2.9058489,101.6527141,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Cyberjaya facility; Basis Bay; STT GDC JV announcement,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Basis Bay Cyberjaya,,,,,,Manual Curation (public sources),Operational,,,inherited,,inherited from v6 master unchanged
"Shinsei Malaysia 1 (Labu, Negeri Sembilan)",Shinsei / Regal Orion,Shinsei / Regal Orion,2.7386579,101.8207566,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"Labu, Negeri Sembilan; also known as Regal Orion; single facility; datacentermap.com",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,"Shinsei Malaysia 1 (Labu, Negeri Sembilan)",,,,,,Manual Curation (public sources),Operational,,,inherited,,inherited from v6 master unchanged
Open DC CJ1 (Cyberjaya),Open DC,Open DC,2.9045353,101.6517597,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"Jalan Cyber Point 4, Cyber 8; Cyberjaya; datacentermap.com",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Open DC CJ1 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,,pending_review,sweep_cotenant_pair:paired_with_v7_row_19 (haversine=46m),inherited from v6 master unchanged
Open DC JB1 (Johor Bahru),Open DC,Open DC,1.4629805,103.7719136,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"Menara MSC Cyberport, No 5 Jalan Bukit Meldrum; Johor Bahru; datacentermap.com",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Open DC JB1 (Johor Bahru),,,,,,Manual Curation (public sources),Operational,,,inherited,,inherited from v6 master unchanged
Infinaxis Cyberjaya 1,Infinaxis,Infinaxis,2.9158979,101.655345,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Multimedia Super Corridor; Tier III target; datacentermap.com snippet,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Infinaxis Cyberjaya 1,,,,,,Manual Curation (public sources),Operational,,,inherited,,inherited from v6 master unchanged
PLTPro CX2 (Cyberjaya),PLTPro,PLTPro,2.9173478,101.6620513,v5.1,0.94,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),"CX2 Computer Exchange, West Wing; Cyberjaya; datacentermap.com snippet",Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,PLTPro CX2 (Cyberjaya),,,,,,Manual Curation (public sources),Operational,,,pending_review,sweep_cotenant_pair:paired_with_v7_row_6 (haversine=27m),inherited from v6 master unchanged
Edge Centres EC31 (Shah Alam),Edge Centres,Edge Centres,3.089453,101.58209,v5.1,0.3733,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",Manual Curation,1,1.0,,Manual Curation (public sources),Jalan Pengaturcara U1/51 Temasya Shah Alam; launched 2022; DCD; corrected from v5 audit,Malaysia,Asia,MYS,South-Eastern Asia,,,geocoded,physical_facility,True,False,,,,Edge Centres EC31 (Shah Alam),,,,,,Manual Curation (public sources),Operational,,2022.0,inherited,,inherited from v6 master unchanged
"OSM unnamed cluster (4 ways) near (1.7027, 103.4122)",,,1.70273,103.41225,v5.1,0.2833,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",OSM Only,1,1.0,"PC36+JW, 82100 Kayu Ara Pasong, Johor, Malaysia",,"osm_ways=1432337885,1432337904,1432337908,1432337909",Malaysia,Asia,MYS,South-Eastern Asia,,sedenak_cluster,source_native,physical_facility,False,False,,,,osm unnamed cluster 4 ways near 1 7027 103 4122,,1432337885.0,,,,OpenStreetMap,,,,inherited,,inherited from v6 master unchanged
"OSM unnamed cluster (2 ways) near (1.6941, 103.4199)",,,1.69411,103.419941,v5.1,0.2833,,"Logical cloud-region pin, not a physical facility. Not eligible for land-transformation analysis; keep for reference.",OSM Only,1,1.0,"MCV9+HJ Kayu Ara Pasong, Johor, Malaysia",,"osm_ways=1432337898,1432337912",Malaysia,Asia,MYS,South-Eastern Asia,,sedenak_cluster,source_native,physical_facility,False,False,,,,osm unnamed cluster 2 ways near 1 6941 103 4199,,1432337898.0,,,,OpenStreetMap,,,,inherited,,inherited from v6 master unchanged
Bridge Data Centres facility (Johor),Bridge Data Centres,Bridge Data Centres,1.4854,103.7618,v6_high,0.5967,,MIDA-sourced facility announcement with multi-source agreement (0 sibling(s) in corpus). Ready to merge.,MIDA Press Release,2,True,Johor,https://www.mida.gov.my/media-release/bridge-data-centres-and-bytedance-celebrate-grand-opening-of-the-first-phase-hyperscale-data-centre-my06-in-johor-malaysia/,"operators=Bridge Data Centres, Bytedance, Google | locations=Johor, Kuala Lumpur, Sedenak | capex=RM70 billion | mw=110MW, 100 MW | published=20 October 2022 | title=Bridge Data Centres And Bytedance Celebrate Grand Opening Of The First Phase Hyperscale Data Centre (My06) In Johor, Malaysia - MIDA | Malaysian Investment Development Authority || co_sources=https://www.mida.gov.my/mida-news/sydney-based-airtrunk-opens-data-centre-in-johor/",Malaysia,Asia,MYS,South-Eastern Asia,mida_candidates.csv,,geocoded_with_campus_offset,physical_facility,True,False,,,new,bridge data centres facility johor,tier1_colo,,,,,MIDA Press Release + 1 sibling(s),,,2026.0,inherited,,inherited from v6 master unchanged
Infinaxis facility (Cyberjaya),Infinaxis,Infinaxis,2.9188,101.6521,v6_high,0.73,,MIDA-sourced facility announcement with multi-source agreement (0 sibling(s) in corpus). Ready to merge.,MIDA Press Release,4,True,Cyberjaya,https://www.mida.gov.my/media-release/gaw-capital-partners-and-a3-capital-jointly-form-a-jv-platform-with-the-launch-of-the-first-infinaxis-data-centre-in-malaysia/,"operators=Infinaxis, Google | locations=Cyberjaya, Kuala Lumpur | capex=USD1.3 billion, US$33.6 billion, US$4bn | mw=12 MW | published=23 February 2023 | title=Gaw Capital Partners and A3 Capital Jointly Form a JV Platform with the Launch of the first Infinaxis Data Centre in Malaysia - MIDA | Malaysian Investment Development Authority || co_sources=https://www.mida.gov.my/mida-news/google-to-invest-rm9-4-bln-in-malaysia-develop-data-centre-cloud-region/; https://www.mida.gov.my/mida-news/equinix-continues-expansion-plan-unveils-new-data-centre/; https://www.mida.gov.my/mida-news/mah-sing-launches-mah-sing-dc-hub-southville-city-with-bridge-data-centres/",Malaysia,Asia,MYS,South-Eastern Asia,mida_candidates.csv,,geocoded_with_campus_offset,physical_facility,True,False,,,new,infinaxis facility cyberjaya,tier2_colo,,,,,MIDA Press Release + 3 sibling(s),,,2026.0,inherited,,inherited from v6 master unchanged
Google facility (Selangor),Google,Google,3.0738,101.5183,v6_high,0.73,,MIDA-sourced facility announcement with multi-source agreement (0 sibling(s) in corpus). Ready to merge.,MIDA Press Release,3,True,Selangor,https://www.mida.gov.my/mida-news/googles-malaysia-data-centre-sets-new-standard-for-power-water-usage-efficiency/,"operators=Google | locations=Selangor | capex=RM123.5 billion, US$2 billion, US$3.2 billion | published=2024-10-13 | title=Google’s Malaysia data centre sets new standard for power, water usage efficiency - MIDA | Malaysian Investment Development Authority || co_sources=https://www.st.gov.my/stakeholders/electricity/list-of-registered-electricity-industry-professionals-and-licensees/list-public-distribution-licensee?page=7; https://www.st.gov.my/stakeholders/electricity/list-of-registered-electricity-industry-professionals-and-licensees/list-public-distribution-licensee?page=32",Malaysia,Asia,MYS,South-Eastern Asia,mida_candidates.csv,,geocoded_with_campus_offset,physical_facility,True,False,,,new,google facility selangor,hyperscaler,,,,,MIDA Press Release + 2 sibling(s),,,2026.0,pending_review,"sweep_cotenant_pair:paired_with_v7_row_103 (haversine=30m) || v7.1 fix 4 flag: coord at (3.073, 101.519) collides with Maxis i-City (row 103) and HDC (row 114) at 30m — likely a geocoder artifact since Google's Malaysia facility is reported at Elmina/Sungai Buloh, not i-City Shah Alam. The sweep_cotenant_pair flags pointing at rows 103 and 114 from this row may be false positives. User to verify and re-source coord during manual triage.",inherited from v6 master unchanged | v7.1 fix 4: flagged coord as likely geocoder artifact colliding with i-City cluster; no data changed.
Telekom Malaysia facility (Klang),Telekom Malaysia,Telekom Malaysia,3.0446,101.445,v6_review,0.3133,,MIDA release describing an exploratory / unbuilt project. Keep tracking; promote when a ground-breaking or operational announcement follows.,MIDA Press Release,1,True,Klang,https://www.mida.gov.my/mida-news/telekom-malaysia-said-to-be-exploring-plans-to-build-new-hyperscale-data-centre/,"operators=Telekom Malaysia, Google | locations=Klang, Iskandar Puteri, Iskandar | capex=RM2.53 billion, RM22.87 billion | mw=40 Megawatts | published=2024-02-08 | title=Telekom Malaysia said to be exploring plans to build new hyperscale data centre - MIDA | Malaysian Investment Development Authority",Malaysia,Asia,MYS,South-Eastern Asia,mida_candidates.csv,,geocoded_with_campus_offset,physical_facility,True,False,,,new,telekom malaysia facility klang,sovereign_telco,,,,,MIDA Press Release,,,2026.0,inherited,,inherited from v6 master unchanged
Google facility (Petaling Jaya),Google,Google,3.1073,101.6067,v6_review,0.3133,,"Operator IR release referencing a DC-adjacent JV or stake, not a facility per se. Probably not promotable unless the JV produces a specific build.",Gamuda Press Release,1,True,Petaling Jaya,https://gamuda.com/2024/12/gamuda-to-acquire-20-stake-in-google-cloud-partner-for-rm18-million/press-releases/,"operators=Google | locations=Petaling Jaya, Penang | capex=RM18 million, RM18 million, RM18 million | published=10 December 2024 | title=Gamuda to acquire 20% stake in Google Cloud partner for RM18 million | Gamuda Berhad",Malaysia,Asia,MYS,South-Eastern Asia,operator_ir_candidates.csv,,geocoded_with_campus_offset,physical_facility,True,False,,,new,google facility petaling jaya,hyperscaler,,,,,Gamuda Press Release,,,2026.0,inherited,,inherited from v6 master unchanged
JARING Bukit Jalil,Data Center Facility,Data Center Facility,3.046839,101.688963,v6_review,0.2833,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Technology Park Malaysia, Kuala Lumpur, 57000",https://www.peeringdb.com/fac/610,pdb_id=610 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,source_native,physical_facility,True,False,,,new,jaring bukit jalil,tier2_colo,,,,,PeeringDB fac 610,,,,inherited,,inherited from v6 master unchanged
NTT Cyberjaya CBJ1,NTT DATA,NTT DATA,,,v6_review,0.2233,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"43000 Jalan APEC, Cyberjaya, 63000 | 43000 Jalan APEC, Cyberjaya 63000, Selangor",https://www.peeringdb.com/fac/1902 | https://services.global.ntt/en-US/newsroom/ntt-strengthens-commitment-to-malaysia-with-the-launch-of-cyberjaya-6-data-center,"pdb_id=1902 | clli= | region=Asia Pacific | status=ok | Renamed from 'NTT Cyberjaya Data Center (CBJ)' to 'NTT Cyberjaya CBJ1' per dedup resolution; CBJ is historical PeeringDB label for the original building, distinct from CBJ6 (row 11). v7.1 fix 3 geocode FAILED for query='43000 Jalan APEC, Cyberjaya 63000, Selangor' — coord left blank, coord_confidence=unknown",Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,unknown,physical_facility,True,False,,,new,ntt cyberjaya data center cbj,tier1_colo,,,,,PeeringDB fac 1902,,,,updated,,"dedup_not_duplicate_keep_both (entry 5): paired v6_row_11 ↔ v6_row_73 | special_case:NTT_rename_recommendation | v7.1 fix 3: renamed to CBJ1, coord-filled from campus address per dedup entry 5 recommendation."
AIMS CJ1 Cyberjaya,AIMS Data Centre Sdn Bhd,AIMS Data Centre Sdn Bhd,,,v6_review,0.2233,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Jalan Cyber Point 4, Cyberjaya, 63000",https://www.peeringdb.com/fac/3168,pdb_id=3168 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,,physical_facility,True,False,,,new,aims cj1 cyberjaya,tier2_colo,,,,,PeeringDB fac 3168,,,,pending_review,"review_per_dedup_3: AIMS has multiple Cyberjaya buildings (CJ1, Block 2, possibly more). PeeringDB labels one 'CJ1 Cyberjaya'; v5.1 has 'Block 2'. These may or may not be the same building — AIMS uses both conventions. Without an authoritative AIMS facility list, flag for human review rather than auto-merge. || not_duplicate_per_dedup_4: Evidence reversal: the two PeeringDB records have DIFFERENT addresses, so they are two distinct buildings — not a duplicate. PDB fac/3168 (AIMS CJ1 Cyberjaya) is at Jalan Cyber Point 4, Cyber 8, Cyberjaya 63000. PDB fac/13120 (AIMS Cyberjaya) is at Jalan Teknokrat 1/2, Cyber 3, Cyberjaya 63000. Cybe || see also dedup entry 3 (review): v6_row_74 vs v6_row_9; and dedup entry 4: v6_row_91 may describe same Cyber 3 building as v6_row_9 — three-way review needed before v8.",dedup_not_duplicate_keep_both (entry 4): paired v6_row_74 ↔ v6_row_91 | special_case:AIMS_three_way
CX5 / MY02 Cyberjaya Malaysia,Bridge Data Centres,Bridge Data Centres,2.914565,101.649916,v6_review,0.2833,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"MY02, Cyberjaya, 63000",https://www.peeringdb.com/fac/4712,pdb_id=4712 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,source_native,physical_facility,True,False,,,new,cx5 my02 cyberjaya malaysia,tier1_colo,,,,,PeeringDB fac 4712,,,,inherited,,inherited from v6 master unchanged
"TM ONE Brickfields City DC, Kuala Lumpur",Telekom Malaysia Berhad (TM),Telekom Malaysia Berhad (TM),,,v6_review,0.2233,,PeeringDB single-source discovery. High intrinsic quality (operator self-registered with coords) but needs a second source to auto-promote. Check against local press or OSM.,PeeringDB,1,True,"Jalan Tun Sambathan, Brickfields, 50470",https://www.peeringdb.com/fac/5644,pdb_id=5644 | clli= | region=Asia Pacific | status=ok,Malaysia,Asia,MYS,South-Eastern Asia,peeringdb_candidates.csv,,,physical_facility,True,False,,,new,tm one brickfields city dc kuala lumpur,sovereign_telco,,,,,PeeringDB fac 5644,,,,inherited,,inherited from v6 master unchanged
